;ROOF/GFA;;;;(WALL/4)/GFA;;;;WINDOW/GFA;;;
Construction year;SFH;TH;MFH;AB;SFH;TH;MFH;AB;SFH;TH;MFH;AB
<1859;1.569590643;0;1.634637514;0;0.497076023;0;1.077819333;0;0.336842105;0;0.615650173;0
1860-1918;1.061302682;1;1;1.416004887;0.619412516;0.310416667;0.355058366;0.466401955;0.284802043;0.301666667;0.526264591;0.832009774
1919-1948;1.476880607;1;1;0.971183013;0.405969634;0.317956349;0.510252366;0.786147624;0.361628709;0.426587302;0.449211356;0.703993933
1949-1957;1.569461827;1;1;1;0.368585732;0.414716749;0.325352113;0.973125884;0.23028786;0.575123153;0.278028169;0.834229137
1958-1968;1.458549223;1;1.000102987;1.044425087;0.304835924;0.218614719;0.524974253;1.767748258;0.23402418;0.292207792;0.522657055;1.496080139
1969-1978;1.202232436;1;1;1;0.291529875;0.22044335;0.387632672;0.986111111;0.224556796;0.384236453;0.37517305;1.009259259
1979-1983;1.208633094;1.336986301;1;0;0.477817746;0.185273973;0.450161095;0;0.323741007;0.278082192;0.400322191;0
1984-1994;1.636122178;1.156862745;1;0;0.701527224;0.226827094;0.776663994;0;0.394422311;0.335115865;0.645549318;0
1995-2001;1.370106762;1.49132948;1.021149101;0;0.37544484;0.217726397;0.613147691;0;0.385527877;0.431599229;0.573845612;0
2002-2009;1.076441103;1.291371994;0.936238902;0;0.59179198;0.497524752;0.685230024;0;0.354636591;0.513437058;0.498305085;0
