;ROOF;;;;WALL;;;;FLOOR;;;
Construction year;SFH;TH;MFH;AB;SFH;TH;MFH;AB;SFH;TH;MFH;AB
<1859;110750.00;0.00;110750.00;0.00;118336.00;0.00;118336.00;0.00;110750.00;0.00;110750.00;0.00
1860-1918;110750.00;110750.00;110750.00;110750.00;100000.00;118336.00;100000.00;118336.00;110750.00;110750.00;110750.00;110750.00
1919-1948;128420.00;128420.00;128420.00;128420.00;118336.00;118336.00;118336.00;118336.00;128420.00;128420.00;128420.00;128420.00
1949-1957;160504.00;160504.00;160504.00;160504.00;105000.00;105000.00;105000.00;105000.00;160504.00;160504.00;160504.00;160504.00
1958-1968;160504.00;160504.00;160504.00;160504.00;105000.00;105000.00;105000.00;105000.00;160504.00;160504.00;160504.00;160504.00
1969-1978;177640.00;177640.00;177640.00;177640.00;139000.00;139000.00;139000.00;139000.00;177640.00;177640.00;177640.00;177640.00
1979-1983;132920.00;132920.00;132920.00;177640.00;123000.00;123000.00;123000.00;139000.00;132920.00;132920.00;132920.00;177640.00
1984-1994;132920.00;132920.00;132920.00;132920.00;133750.00;133750.00;133750.00;123000.00;132920.00;132920.00;132920.00;132920.00
1995-2001;132920.00;132920.00;132920.00;132920.00;133750.00;133750.00;133750.00;133750.00;132920.00;132920.00;132920.00;132920.00
2002-2009;132920.00;132920.00;132920.00;0.00;133750.00;133750.00;133750.00;0.00;132920.00;132920.00;132920.00;0.00
