;ROOF;;;;WALL;;;;FLOOR;;;
Construction year;SFH;TH;MFH;AB;SFH;TH;MFH;AB;SFH;TH;MFH;AB
<1859;110750;0;110750;0;118336;0;118336;0;110750;0;110750;0
1860-1918;110750;110750;110750;110750;100000;118336;100000;118336;110750;110750;110750;110750
1919-1948;128420;128420;128420;128420;118336;118336;118336;118336;128420;128420;128420;128420
1949-1957;160504;160504;160504;160504;105000;105000;105000;105000;160504;160504;160504;160504
1958-1968;160504;160504;160504;160504;105000;105000;105000;105000;160504;160504;160504;160504
1969-1978;177640;177640;177640;177640;139000;139000;139000;139000;177640;177640;177640;177640
1979-1983;132920;132920;132920;177640;123000;123000;123000;139000;132920;132920;132920;177640
1984-1994;132920;132920;132920;132920;133750;133750;133750;123000;132920;132920;132920;132920
1995-2001;132920;132920;132920;132920;133750;133750;133750;133750;132920;132920;132920;132920
2002-2009;132920;132920;132920;0;133750;133750;133750;0;132920;132920;132920;0
>2009;132920;132920;132920;0;133750;133750;133750;0;132920;132920;132920;0
