;GROUND FLOOR AREA;;;;TOTAL WALL AREA/4;;;;TOTAL ROOF AREA;;;;TOTAL WINDOW AREA;;;
Construction year;SFH;TH;MFH;AB;SFH;TH;MFH;AB;SFH;TH;MFH;AB;SFH;TH;MFH;AB
<1859;85.5;0;173.8;0;42.5;0;187.33;0;134.2;0;284.1;0;28.8;0;107;0
1860-1918;78.3;60;102.8;163.7;48.5;18.63;36.5;76.35;83.1;60;102.8;231.8;22.3;18.1;54.1;136.2
1919-1948;144.9;50.4;158.5;395.6;58.83;16.03;80.88;311;214;50.4;158.5;384.2;52.4;21.5;71.2;278.5
1949-1957;79.9;81.2;355;353.5;29.45;33.68;115.5;344;125.4;81.2;355;353.5;18.4;46.7;98.7;294.9
1958-1968;115.8;46.2;971;459.2;35.3;10.1;509.75;811.75;168.9;46.2;971.1;479.6;27.1;13.5;507.5;687
1969-1978;152.3;60.9;216.7;540;44.4;13.43;84;532.5;183.1;60.9;216.7;540;34.2;23.4;81.3;545
1979-1983;83.4;73;248.3;0;39.85;13.53;111.78;0;100.8;97.6;248.3;0;27;20.3;99.4;0
1984-1994;75.3;56.1;249.4;0;52.83;12.73;193.7;0;123.2;64.9;249.4;0;29.7;18.8;161;0
1995-2001;84.3;51.9;283.7;0;31.65;11.3;173.95;0;115.5;77.4;289.7;0;32.5;22.4;162.8;0
2002-2009;79.8;70.7;619.5;0;47.23;35.18;424.5;0;85.9;91.3;580;0;28.3;36.3;308.7;0
