;ROOF;;;;WALL;;;;FLOOR;;;;WINDOW;;;;DOOR;;;;THERMAL BRIDGE;;;
Construction year;SFH;TH;MFH;AB;SFH;TH;MFH;AB;SFH;TH;MFH;AB;SFH;TH;MFH;AB;SFH;TH;MFH;AB;SFH;TH;MFH;AB
<1859;2.6;0;2.6;0;2;0;2;0;2.9;0;0.88;0;2.8;0;2.8;0;3;0;3;0;0.1;0;0.1;0
1860-1918;1.3;0.77;1.3;1.3;1.7;1.7;2.2;1.7;0.88;0.88;0.88;0.88;2.8;2.7;2.7;2.8;3;3;3;3;0.1;0.1;0.1;0.1
1919-1948;1.4;0.65;1.4;0.65;1.7;1.7;1.7;1.4;0.77;0.77;0.77;0.77;2.8;2.8;2;3;3;3;3;3;0.1;0.1;0.1;0.1
1949-1957;1.4;0.65;1.08;1.08;1.4;1.2;1.2;1.2;0.78;1.29;1.33;1.29;2.8;2.8;3;3;3;3;3;3;0.1;0.1;0.1;0.1
1958-1968;0.8;0.51;0.51;0.51;1.2;1.2;1.2;1.2;1.08;1.08;1.08;1.08;2.8;2.8;3;3;3;3;3;3;0.1;0.1;0.1;0.1
1969-1978;0.5;0.51;0.51;0.51;1;1;1;1.1;0.77;0.77;0.77;0.77;2.8;2.8;3;3;3;3;4;4;0.1;0.1;0.1;0.1
1979-1983;0.5;0.5;0.43;0;0.8;0.8;0.8;0;0.65;0.65;0.65;0;4.3;2.8;3;0;3;3;4;0;0.1;0.1;0.1;0
1984-1994;0.4;0.4;0.36;0;0.5;0.6;0.6;0;0.51;0.51;0.51;0;3.2;2.8;3;0;3;3;4;0;0.1;0.1;0.1;0
1995-2001;0.35;0.35;0.32;0;0.3;0.6;0.4;0;0.4;0.45;0.4;0;1.9;1.6;1.9;0;2;2;2;0;0.1;0.1;0.1;0
2002-2009;0.25;0.2;0.2;0;0.3;0.3;0.25;0;0.28;0.28;0.32;0;1.4;1.3;1.4;0;2;2;2;0;0.05;0.05;0.05;0
>2011;0.20;0.20;0.20;0.00;0.28;0.28;0.28;0.00;0.35;0.35;0.35;0.00;1.30;1.30;1.30;0.00;1.80;1.80;1.80;0.00;0.05;0.05;0.05;0
