Unterchaching_mod;;;;;;;;;;;;;;;;;;;;;;;
bid;footprint_area;use;free_walls;lat;lon;dist_to_heat_source;NUTS_0;NUTS_1;NUTS_2;NUTS_3;year_class;size_class;ref_level_roof;ref_level_wall;ref_level_floor;ref_level_window;floors;area_corr_factor;storey_area;heated_area;dwellings;dwelling_size;occupants
0;454.333;2;4;48.076;11.609;2253.782;;;;;;;;;;;;;;;;;
1;1456.463;2;4;48.066;11.610;1348.531;;;;;;;;;;;;;;;;;
2;1431.400;0;4;48.067;11.619;2013.718;;;;;;;;;;;;;;;;;
3;1784.495;0;4;48.068;11.620;2067.900;;;;;;;;;;;;;;;;;
4;1391.906;3;4;48.075;11.609;2145.420;;;;;;;;;;;;;;;;;
5;1628.755;0;4;48.057;11.608;831.080;;;;;;;;;;;;;;;;;
6;2372.487;0;4;48.057;11.605;568.093;;;;;;;;;;;;;;;;;
7;1470.113;0;4;48.057;11.600;214.777;;;;;;;;;;;;;;;;;
8;1116.300;0;3;48.057;11.611;995.523;;;;;;;;;;;;;;;;;
9;1092.950;0;4;48.057;11.609;884.170;;;;;;;;;;;;;;;;;
10;5440.809;2;4;48.080;11.614;2826.653;;;;;;;;;;;;;;;;;
11;5382.870;0;4;48.079;11.614;2779.733;;;;;;;;;;;;;;;;;
12;5349.289;0;4;48.078;11.615;2689.957;;;;;;;;;;;;;;;;;
13;4549.511;0;4;48.079;11.614;2734.241;;;;;;;;;;;;;;;;;
14;5848.750;0;4;48.078;11.615;2638.245;;;;;;;;;;;;;;;;;
15;4141.345;0;4;48.077;11.615;2624.188;;;;;;;;;;;;;;;;;
16;6135.435;0;4;48.080;11.616;2947.305;;;;;;;;;;;;;;;;;
17;3614.662;2;4;48.080;11.617;2920.708;;;;;;;;;;;;;;;;;
18;4339.009;0;4;48.079;11.618;2849.783;;;;;;;;;;;;;;;;;
19;4275.434;0;4;48.063;11.621;1871.415;;;;;;;;;;;;;;;;;
20;590.899;2;4;48.062;11.620;1800.443;;;;;;;;;;;;;;;;;
21;204.556;2;4;48.062;11.621;1839.277;;;;;;;;;;;;;;;;;
22;363.125;2;3;48.079;11.607;2589.832;;;;;;;;;;;;;;;;;
23;731.349;3;3;48.080;11.605;2571.330;;;;;;;;;;;;;;;;;
24;518.360;3;4;48.079;11.606;2550.875;;;;;;;;;;;;;;;;;
25;309.291;3;3;48.079;11.605;2544.360;;;;;;;;;;;;;;;;;
26;369.779;3;4;48.081;11.605;2774.153;;;;;;;;;;;;;;;;;
27;369.761;3;4;48.081;11.605;2710.512;;;;;;;;;;;;;;;;;
28;364.175;3;4;48.080;11.606;2642.944;;;;;;;;;;;;;;;;;
29;541.163;2;4;48.061;11.618;1584.658;;;;;;;;;;;;;;;;;
30;605.159;3;4;48.061;11.617;1559.071;;;;;;;;;;;;;;;;;
31;2039.028;3;4;48.060;11.618;1573.011;;;;;;;;;;;;;;;;;
32;6547.427;2;4;48.060;11.615;1356.732;;;;;;;;;;;;;;;;;
33;2102.240;2;3;48.061;11.613;1252.876;;;;;;;;;;;;;;;;;
34;3837.188;2;3;48.061;11.613;1259.821;;;;;;;;;;;;;;;;;
35;2294.852;3;4;48.059;11.623;1899.344;;;;;;;;;;;;;;;;;
36;4360.296;0;3;48.078;11.618;2813.677;;;;;;;;;;;;;;;;;
37;347.130;3;4;48.068;11.615;1812.481;;;;;;;;;;;;;;;;;
38;2631.480;0;3;48.068;11.618;1976.215;;;;;;;;;;;;;;;;;
39;373.443;2;4;48.068;11.616;1859.555;;;;;;;;;;;;;;;;;
40;373.548;2;4;48.068;11.617;1882.999;;;;;;;;;;;;;;;;;
41;240.891;3;4;48.068;11.615;1777.193;;;;;;;;;;;;;;;;;
42;344.555;3;4;48.068;11.615;1775.499;;;;;;;;;;;;;;;;;
43;336.893;3;4;48.067;11.615;1755.716;;;;;;;;;;;;;;;;;
44;323.899;3;4;48.068;11.616;1796.561;;;;;;;;;;;;;;;;;
45;334.885;3;4;48.067;11.615;1776.207;;;;;;;;;;;;;;;;;
46;279.770;3;4;48.070;11.614;1891.380;;;;;;;;;;;;;;;;;
47;269.214;3;4;48.070;11.615;1930.953;;;;;;;;;;;;;;;;;
48;307.395;3;4;48.067;11.613;1620.200;;;;;;;;;;;;;;;;;
49;929.547;3;4;48.067;11.613;1587.685;;;;;;;;;;;;;;;;;
50;730.793;3;4;48.067;11.614;1628.032;;;;;;;;;;;;;;;;;
51;1398.340;2;4;48.066;11.615;1699.753;;;;;;;;;;;;;;;;;
52;479.238;3;3;48.067;11.616;1777.296;;;;;;;;;;;;;;;;;
53;78.080;3;4;48.067;11.617;1848.236;;;;;;;;;;;;;;;;;
54;167.191;2;4;48.067;11.616;1778.821;;;;;;;;;;;;;;;;;
55;2030.374;2;4;48.066;11.617;1785.328;;;;;;;;;;;;;;;;;
56;262.234;3;4;48.070;11.617;2094.063;;;;;;;;;;;;;;;;;
57;246.622;3;4;48.070;11.618;2119.605;;;;;;;;;;;;;;;;;
58;246.448;3;4;48.070;11.618;2145.655;;;;;;;;;;;;;;;;;
59;1211.974;1;4;48.057;11.597;24.017;;;;;;;;;;;;;;;;;
60;767.529;0;4;48.057;11.601;269.389;;;;;;;;;;;;;;;;;
61;822.118;0;4;48.057;11.601;302.402;;;;;;;;;;;;;;;;;
62;910.438;0;4;48.057;11.602;339.520;;;;;;;;;;;;;;;;;
63;541.641;0;4;48.057;11.602;368.158;;;;;;;;;;;;;;;;;
64;1210.454;2;4;48.057;11.606;634.966;;;;;;;;;;;;;;;;;
65;626.186;0;4;48.057;11.600;171.418;;;;;;;;;;;;;;;;;
66;1664.153;0;4;48.057;11.610;941.244;;;;;;;;;;;;;;;;;
67;1709.250;0;4;48.056;11.610;966.413;;;;;;;;;;;;;;;;;
68;709.294;0;4;48.056;11.609;891.552;;;;;;;;;;;;;;;;;
69;627.267;3;3;48.071;11.606;1702.966;;;;;;;;;;;;;;;;;
70;125.556;3;3;48.072;11.605;1754.766;;;;;;;;;;;;;;;;;
71;235.546;3;4;48.073;11.604;1794.057;;;;;;;;;;;;;;;;;
72;148.093;3;4;48.074;11.609;2086.048;;;;;;;;;;;;;;;;;
73;1284.193;2;4;48.073;11.620;2485.141;;;;;;;;;;;;;;;;;
74;1733.275;1;2;48.072;11.620;2371.680;;;;;;;;;;;;;;;;;
75;414.548;3;4;48.063;11.617;1597.933;;;;;;;;;;;;;;;;;
76;189.796;3;4;48.062;11.617;1569.226;;;;;;;;;;;;;;;;;
77;145.000;3;4;48.062;11.617;1547.180;;;;;;;;;;;;;;;;;
78;1769.372;2;4;48.062;11.614;1350.762;;;;;;;;;;;;;;;;;
79;160.355;3;3;48.063;11.612;1289.738;;;;;;;;;;;;;;;;;
80;824.651;0;4;48.063;11.615;1460.059;;;;;;;;;;;;;;;;;
81;862.215;0;4;48.062;11.614;1383.281;;;;;;;;;;;;;;;;;
82;263.382;3;3;48.063;11.613;1341.734;;;;;;;;;;;;;;;;;
83;400.103;3;4;48.062;11.616;1505.371;;;;;;;;;;;;;;;;;
84;451.213;0;4;48.064;11.614;1422.086;;;;;;;;;;;;;;;;;
85;584.874;3;4;48.064;11.613;1388.907;;;;;;;;;;;;;;;;;
86;389.806;3;4;48.063;11.613;1322.433;;;;;;;;;;;;;;;;;
87;236.266;3;3;48.063;11.614;1386.022;;;;;;;;;;;;;;;;;
88;90.909;3;4;48.063;11.613;1347.925;;;;;;;;;;;;;;;;;
89;184.128;3;4;48.063;11.613;1364.112;;;;;;;;;;;;;;;;;
90;109.580;3;3;48.063;11.613;1308.579;;;;;;;;;;;;;;;;;
91;306.203;3;4;48.064;11.613;1360.435;;;;;;;;;;;;;;;;;
92;226.992;3;4;48.063;11.613;1341.465;;;;;;;;;;;;;;;;;
93;183.454;3;4;48.064;11.613;1382.426;;;;;;;;;;;;;;;;;
94;188.417;3;4;48.063;11.613;1375.082;;;;;;;;;;;;;;;;;
95;191.095;3;4;48.063;11.614;1399.409;;;;;;;;;;;;;;;;;
96;596.383;3;4;48.064;11.613;1429.662;;;;;;;;;;;;;;;;;
97;740.197;0;4;48.064;11.613;1429.091;;;;;;;;;;;;;;;;;
98;824.976;2;3;48.062;11.614;1332.828;;;;;;;;;;;;;;;;;
99;865.612;2;3;48.061;11.614;1315.102;;;;;;;;;;;;;;;;;
100;169.006;2;2;48.061;11.614;1332.634;;;;;;;;;;;;;;;;;
101;368.468;2;4;48.061;11.614;1292.380;;;;;;;;;;;;;;;;;
102;294.964;0;4;48.057;11.599;152.038;;;;;;;;;;;;;;;;;
103;1708.300;2;3;48.060;11.611;1090.542;;;;;;;;;;;;;;;;;
104;1543.438;2;2;48.061;11.611;1096.822;;;;;;;;;;;;;;;;;
105;178.322;3;4;48.062;11.609;1031.877;;;;;;;;;;;;;;;;;
106;200.639;2;2;48.061;11.611;1122.866;;;;;;;;;;;;;;;;;
107;112.470;2;2;48.060;11.611;1110.990;;;;;;;;;;;;;;;;;
108;1201.708;0;4;48.056;11.607;768.890;;;;;;;;;;;;;;;;;
109;5311.618;0;4;48.056;11.609;916.481;;;;;;;;;;;;;;;;;
110;2289.413;0;3;48.055;11.609;868.857;;;;;;;;;;;;;;;;;
111;2425.209;0;3;48.055;11.610;966.614;;;;;;;;;;;;;;;;;
112;670.050;0;3;48.056;11.608;837.111;;;;;;;;;;;;;;;;;
113;290.052;0;3;48.056;11.608;790.886;;;;;;;;;;;;;;;;;
114;295.190;0;3;48.056;11.607;759.924;;;;;;;;;;;;;;;;;
115;2147.336;0;4;48.055;11.606;701.173;;;;;;;;;;;;;;;;;
