Unterchaching_mod;;;;;;;;;
bid;footprint_area;use;free_walls;lat;lon;NUTS_0;NUTS_1;NUTS_2;NUTS_3
0;454.333;2;4;48.076;11.609;Germany;Bavaria;Munich;Unterhaching
1;1456.463;2;4;48.066;11.610;Germany;Bavaria;Munich;Unterhaching
2;1431.400;0;4;48.067;11.619;Germany;Bavaria;Munich;Unterhaching
3;1784.495;0;4;48.068;11.620;Germany;Bavaria;Munich;Unterhaching
4;1391.906;3;4;48.075;11.609;Germany;Bavaria;Munich;Unterhaching
5;1628.755;0;4;48.057;11.608;Germany;Bavaria;Munich;Unterhaching
6;2372.487;0;4;48.057;11.605;Germany;Bavaria;Munich;Unterhaching
7;1470.113;0;4;48.057;11.600;Germany;Bavaria;Munich;Unterhaching
8;1116.300;0;3;48.057;11.611;Germany;Bavaria;Munich;Unterhaching
9;1092.950;0;4;48.057;11.609;Germany;Bavaria;Munich;Unterhaching
10;5440.809;2;4;48.080;11.614;Germany;Bavaria;Munich;Unterhaching
11;5382.870;0;4;48.079;11.614;Germany;Bavaria;Munich;Unterhaching
12;5349.289;0;4;48.078;11.615;Germany;Bavaria;Munich;Unterhaching
13;4549.511;0;4;48.079;11.614;Germany;Bavaria;Munich;Unterhaching
14;5848.750;0;4;48.078;11.615;Germany;Bavaria;Munich;Unterhaching
15;4141.345;0;4;48.077;11.615;Germany;Bavaria;Munich;Unterhaching
16;6135.435;0;4;48.080;11.616;Germany;Bavaria;Munich;Unterhaching
17;3614.662;2;4;48.080;11.617;Germany;Bavaria;Munich;Unterhaching
18;4339.009;0;4;48.079;11.618;Germany;Bavaria;Munich;Unterhaching
19;4275.434;0;4;48.063;11.621;Germany;Bavaria;Munich;Unterhaching
20;590.899;2;4;48.062;11.620;Germany;Bavaria;Munich;Unterhaching
21;204.556;2;4;48.062;11.621;Germany;Bavaria;Munich;Unterhaching
22;363.125;2;3;48.079;11.607;Germany;Bavaria;Munich;Unterhaching
23;731.349;3;3;48.080;11.605;Germany;Bavaria;Munich;Unterhaching
24;518.360;3;4;48.079;11.606;Germany;Bavaria;Munich;Unterhaching
25;309.291;3;3;48.079;11.605;Germany;Bavaria;Munich;Unterhaching
26;369.779;3;4;48.081;11.605;Germany;Bavaria;Munich;Unterhaching
27;369.761;3;4;48.081;11.605;Germany;Bavaria;Munich;Unterhaching
28;364.175;3;4;48.080;11.606;Germany;Bavaria;Munich;Unterhaching
29;541.163;2;4;48.061;11.618;Germany;Bavaria;Munich;Unterhaching
30;605.159;3;4;48.061;11.617;Germany;Bavaria;Munich;Unterhaching
31;2039.028;3;4;48.060;11.618;Germany;Bavaria;Munich;Unterhaching
32;6547.427;2;4;48.060;11.615;Germany;Bavaria;Munich;Unterhaching
33;2102.240;2;3;48.061;11.613;Germany;Bavaria;Munich;Unterhaching
34;3837.188;2;3;48.061;11.613;Germany;Bavaria;Munich;Unterhaching
35;2294.852;3;4;48.059;11.623;Germany;Bavaria;Munich;Unterhaching
36;4360.296;0;3;48.078;11.618;Germany;Bavaria;Munich;Unterhaching
37;347.130;3;4;48.068;11.615;Germany;Bavaria;Munich;Unterhaching
38;2631.480;0;3;48.068;11.618;Germany;Bavaria;Munich;Unterhaching
39;373.443;2;4;48.068;11.616;Germany;Bavaria;Munich;Unterhaching
40;373.548;2;4;48.068;11.617;Germany;Bavaria;Munich;Unterhaching
41;240.891;3;4;48.068;11.615;Germany;Bavaria;Munich;Unterhaching
42;344.555;3;4;48.068;11.615;Germany;Bavaria;Munich;Unterhaching
43;336.893;3;4;48.067;11.615;Germany;Bavaria;Munich;Unterhaching
44;323.899;3;4;48.068;11.616;Germany;Bavaria;Munich;Unterhaching
45;334.885;3;4;48.067;11.615;Germany;Bavaria;Munich;Unterhaching
46;279.770;3;4;48.070;11.614;Germany;Bavaria;Munich;Unterhaching
47;269.214;3;4;48.070;11.615;Germany;Bavaria;Munich;Unterhaching
48;307.395;3;4;48.067;11.613;Germany;Bavaria;Munich;Unterhaching
49;929.547;3;4;48.067;11.613;Germany;Bavaria;Munich;Unterhaching
50;730.793;3;4;48.067;11.614;Germany;Bavaria;Munich;Unterhaching
51;1398.340;2;4;48.066;11.615;Germany;Bavaria;Munich;Unterhaching
52;479.238;3;3;48.067;11.616;Germany;Bavaria;Munich;Unterhaching
53;78.080;3;4;48.067;11.617;Germany;Bavaria;Munich;Unterhaching
54;167.191;2;4;48.067;11.616;Germany;Bavaria;Munich;Unterhaching
55;2030.374;2;4;48.066;11.617;Germany;Bavaria;Munich;Unterhaching
56;262.234;3;4;48.070;11.617;Germany;Bavaria;Munich;Unterhaching
57;246.622;3;4;48.070;11.618;Germany;Bavaria;Munich;Unterhaching
58;246.448;3;4;48.070;11.618;Germany;Bavaria;Munich;Unterhaching
59;1211.974;1;4;48.057;11.597;Germany;Bavaria;Munich;Unterhaching
60;767.529;0;4;48.057;11.601;Germany;Bavaria;Munich;Unterhaching
61;822.118;0;4;48.057;11.601;Germany;Bavaria;Munich;Unterhaching
62;910.438;0;4;48.057;11.602;Germany;Bavaria;Munich;Unterhaching
63;541.641;0;4;48.057;11.602;Germany;Bavaria;Munich;Unterhaching
64;1210.454;2;4;48.057;11.606;Germany;Bavaria;Munich;Unterhaching
65;626.186;0;4;48.057;11.600;Germany;Bavaria;Munich;Unterhaching
66;1664.153;0;4;48.057;11.610;Germany;Bavaria;Munich;Unterhaching
67;1709.250;0;4;48.056;11.610;Germany;Bavaria;Munich;Unterhaching
68;709.294;0;4;48.056;11.609;Germany;Bavaria;Munich;Unterhaching
69;627.267;3;3;48.071;11.606;Germany;Bavaria;Munich;Unterhaching
70;125.556;3;3;48.072;11.605;Germany;Bavaria;Munich;Unterhaching
71;235.546;3;4;48.073;11.604;Germany;Bavaria;Munich;Unterhaching
72;148.093;3;4;48.074;11.609;Germany;Bavaria;Munich;Unterhaching
73;1284.193;2;4;48.073;11.620;Germany;Bavaria;Munich;Unterhaching
74;1733.275;1;2;48.072;11.620;Germany;Bavaria;Munich;Unterhaching
75;414.548;3;4;48.063;11.617;Germany;Bavaria;Munich;Unterhaching
76;189.796;3;4;48.062;11.617;Germany;Bavaria;Munich;Unterhaching
77;145.000;3;4;48.062;11.617;Germany;Bavaria;Munich;Unterhaching
78;1769.372;2;4;48.062;11.614;Germany;Bavaria;Munich;Unterhaching
79;160.355;3;3;48.063;11.612;Germany;Bavaria;Munich;Unterhaching
80;824.651;0;4;48.063;11.615;Germany;Bavaria;Munich;Unterhaching
81;862.215;0;4;48.062;11.614;Germany;Bavaria;Munich;Unterhaching
82;263.382;3;3;48.063;11.613;Germany;Bavaria;Munich;Unterhaching
83;400.103;3;4;48.062;11.616;Germany;Bavaria;Munich;Unterhaching
84;451.213;0;4;48.064;11.614;Germany;Bavaria;Munich;Unterhaching
85;584.874;3;4;48.064;11.613;Germany;Bavaria;Munich;Unterhaching
86;389.806;3;4;48.063;11.613;Germany;Bavaria;Munich;Unterhaching
87;236.266;3;3;48.063;11.614;Germany;Bavaria;Munich;Unterhaching
88;90.909;3;4;48.063;11.613;Germany;Bavaria;Munich;Unterhaching
89;184.128;3;4;48.063;11.613;Germany;Bavaria;Munich;Unterhaching
90;109.580;3;3;48.063;11.613;Germany;Bavaria;Munich;Unterhaching
91;306.203;3;4;48.064;11.613;Germany;Bavaria;Munich;Unterhaching
92;226.992;3;4;48.063;11.613;Germany;Bavaria;Munich;Unterhaching
93;183.454;3;4;48.064;11.613;Germany;Bavaria;Munich;Unterhaching
94;188.417;3;4;48.063;11.613;Germany;Bavaria;Munich;Unterhaching
95;191.095;3;4;48.063;11.614;Germany;Bavaria;Munich;Unterhaching
96;596.383;3;4;48.064;11.613;Germany;Bavaria;Munich;Unterhaching
97;740.197;0;4;48.064;11.613;Germany;Bavaria;Munich;Unterhaching
98;824.976;2;3;48.062;11.614;Germany;Bavaria;Munich;Unterhaching
99;865.612;2;3;48.061;11.614;Germany;Bavaria;Munich;Unterhaching
100;169.006;2;2;48.061;11.614;Germany;Bavaria;Munich;Unterhaching
101;368.468;2;4;48.061;11.614;Germany;Bavaria;Munich;Unterhaching
102;294.964;0;4;48.057;11.599;Germany;Bavaria;Munich;Unterhaching
103;1708.300;2;3;48.060;11.611;Germany;Bavaria;Munich;Unterhaching
104;1543.438;2;2;48.061;11.611;Germany;Bavaria;Munich;Unterhaching
105;178.322;3;4;48.062;11.609;Germany;Bavaria;Munich;Unterhaching
106;200.639;2;2;48.061;11.611;Germany;Bavaria;Munich;Unterhaching
107;112.470;2;2;48.060;11.611;Germany;Bavaria;Munich;Unterhaching
108;1201.708;0;4;48.056;11.607;Germany;Bavaria;Munich;Unterhaching
109;5311.618;0;4;48.056;11.609;Germany;Bavaria;Munich;Unterhaching
110;2289.413;0;3;48.055;11.609;Germany;Bavaria;Munich;Unterhaching
111;2425.209;0;3;48.055;11.610;Germany;Bavaria;Munich;Unterhaching
112;670.050;0;3;48.056;11.608;Germany;Bavaria;Munich;Unterhaching
113;290.052;0;3;48.056;11.608;Germany;Bavaria;Munich;Unterhaching
114;295.190;0;3;48.056;11.607;Germany;Bavaria;Munich;Unterhaching
115;2147.336;0;4;48.055;11.606;Germany;Bavaria;Munich;Unterhaching
116;1098.903;0;4;48.056;11.606;Germany;Bavaria;Munich;Unterhaching
117;210.952;0;4;48.056;11.607;Germany;Bavaria;Munich;Unterhaching
118;5652.501;2;4;48.065;11.611;Germany;Bavaria;Munich;Unterhaching
119;1148.351;1;4;48.057;11.607;Germany;Bavaria;Munich;Unterhaching
120;387.458;1;4;48.057;11.606;Germany;Bavaria;Munich;Unterhaching
121;890.858;1;4;48.057;11.607;Germany;Bavaria;Munich;Unterhaching
122;470.532;0;3;48.060;11.629;Germany;Bavaria;Munich;Unterhaching
123;235.700;3;3;48.059;11.619;Germany;Bavaria;Munich;Unterhaching
124;355.222;3;3;48.060;11.622;Germany;Bavaria;Munich;Unterhaching
125;351.225;3;3;48.061;11.621;Germany;Bavaria;Munich;Unterhaching
