SOLAR RADIATION IN W/m2 (UNTERHACHING);;;
I_Gh;I_Dh;I_ex;hs
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
15.0703125;9.371954723;157;2.649212407
66.71875;42.1687434;307;9.662036752
125.03125;75.66568819;408;14.96202857
152.25;88.54653216;453;18.12506037
144.0625;84.18191141;439;18.8426438
129.625;78.80689988;368;17.03785514
83.21875;55.44818113;243;12.89906502
33.046875;25.31620685;74;6.800755176
1.546386719;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
17.296875;10.48770287;157;2.659010015
70.15625;43.88287114;307;9.688077945
114.84375;69.78598913;409;15.00715893
122.34375;72.20107219;455;18.19066782
109.21875;64.9450382;442;18.92785814
85.53125;53.31000866;370;17.1395551
56.25;38.2562452;246;13.01292235
29.5078125;22.97899537;77;6.922564226
1.843261719;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
6.748046875;4.264491845;158;2.675292591
32.375;21.6650212;308;9.720923466
66.625;41.56613638;410;15.05935829
86.96875;52.20966328;457;18.26346842
90.21875;54.1256171;444;19.02017773
68;42.78798649;373;17.24804631
58.921875;40.05422075;249;13.13308882
35.421875;27.26336506;80;7.050128955
1.800292969;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
18.1640625;10.70596568;158;2.698081968
70.71875;43.86440331;310;9.760583068
95.09375;58.19210693;412;15.11862411
87.9375;52.68026368;459;18.34344726
92.25;55.21767444;446;19.11957518
108.59375;66.78429603;376;17.36328882
89.03125;59.31558173;252;13.25951273
38.09375;29.25068341;83;7.183387844
2.083984375;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
