PERCENTAGE OF THERMALLY REFURFISHED ENVELOPE AREAS;;;;;
size_class;year_class;roof;wall;floor;window
sfh;1859;0.47;0.2;0.47;0.35
sfh;1860-1918;0.47;0.2;0.47;0.35
sfh;1919-1948;0.47;0.2;0.47;0.35
sfh;1949-1957;0.47;0.2;0.47;0.35
sfh;1958-1968;0.47;0.2;0.47;0.35
sfh;1969-1978;0.47;0.2;0.47;0.35
sfh;1979-1983;0.24;0.07;0.24;0.12
sfh;1984-1994;0.24;0.07;0.24;0.12
sfh;1995-2001;0.15;0.02;0.15;0.03
sfh;2002-2009;0.15;0.02;0.15;0.03
sfh;2010;0.15;0.02;0.15;0.03
th;1859;0.47;0.2;0.47;0.35
th;1860-1918;0.47;0.2;0.47;0.35
th;1919-1948;0.47;0.2;0.47;0.35
th;1949-1957;0.47;0.2;0.47;0.35
th;1958-1968;0.47;0.2;0.47;0.35
th;1969-1978;0.47;0.2;0.47;0.35
th;1979-1983;0.24;0.07;0.24;0.12
th;1984-1994;0.24;0.07;0.24;0.12
th;1995-2001;0.15;0.02;0.15;0.03
th;2002-2009;0.15;0.02;0.15;0.03
th;2010;0.15;0.02;0.15;0.03
mfh;1859;0.48;0.26;0.48;0.44
mfh;1860-1918;0.48;0.26;0.48;0.44
mfh;1919-1948;0.48;0.26;0.48;0.44
mfh;1949-1957;0.48;0.26;0.48;0.44
mfh;1958-1968;0.48;0.26;0.48;0.44
mfh;1969-1978;0.48;0.26;0.48;0.44
mfh;1979-1983;0.23;0.15;0.23;0.24
mfh;1984-1994;0.23;0.15;0.23;0.24
mfh;1995-2001;0.14;0.11;0.14;0.17
mfh;2002-2009;0.14;0.11;0.14;0.17
mfh;2010;0.14;0.11;0.14;0.17
ab;1859;0.48;0.26;0.48;0.44
ab;1860-1918;0.48;0.26;0.48;0.44
ab;1919-1948;0.48;0.26;0.48;0.44
ab;1949-1957;0.48;0.26;0.48;0.44
ab;1958-1968;0.48;0.26;0.48;0.44
ab;1969-1978;0.48;0.26;0.48;0.44
ab;1979-1983;0.23;0.15;0.23;0.24
ab;1984-1994;0.23;0.15;0.23;0.24
ab;1995-2001;0.14;0.11;0.14;0.17
ab;2002-2009;0.14;0.11;0.14;0.17
ab;2010;0.14;0.11;0.14;0.17
