MAXIMAL PERCENTAGE OF THERMALLY REFURFISHED ENVELOPE AREAS;;;;;
House_Type;Construction_Year;roof;wall;floor;window
sfh;1859;0.9;0.9;0.9;0.9
sfh;1860-1918;0.9;0.9;0.9;0.9
sfh;1919-1948;0.9;0.9;0.9;0.9
sfh;1949-1957;0.9;0.9;0.9;0.9
sfh;1958-1968;0.9;0.9;0.9;0.9
sfh;1969-1978;0.9;0.9;0.9;0.9
sfh;1979-1983;0.95;0.95;0.95;0.95
sfh;1984-1994;0.95;0.95;0.95;0.95
sfh;1995-2001;1;1;1;1
sfh;2002-2009;1;1;1;1
sfh;2010;1;1;1;1
th;1859;0.9;0.9;0.9;0.9
th;1860-1918;0.9;0.9;0.9;0.9
th;1919-1948;0.9;0.9;0.9;0.9
th;1949-1957;0.9;0.9;0.9;0.9
th;1958-1968;0.9;0.9;0.9;0.9
th;1969-1978;0.9;0.9;0.9;0.9
th;1979-1983;0.95;0.95;0.95;0.95
th;1984-1994;0.95;0.95;0.95;0.95
th;1995-2001;1;1;1;1
th;2002-2009;1;1;1;1
th;2010;1;1;1;1
mfh;1859;0.8;0.8;0.8;0.8
mfh;1860-1918;0.8;0.8;0.8;0.8
mfh;1919-1948;0.8;0.8;0.8;0.8
mfh;1949-1957;0.8;0.8;0.8;0.8
mfh;1958-1968;0.8;0.8;0.8;0.8
mfh;1969-1978;0.8;0.8;0.8;0.8
mfh;1979-1983;0.95;0.95;0.95;0.95
mfh;1984-1994;0.95;0.95;0.95;0.95
mfh;1995-2001;1;1;1;1
mfh;2002-2009;1;1;1;1
mfh;2010;1;1;1;1
ab;1859;0.8;0.8;0.8;0.8
ab;1860-1918;0.8;0.8;0.8;0.8
ab;1919-1948;0.8;0.8;0.8;0.8
ab;1949-1957;0.8;0.8;0.8;0.8
ab;1958-1968;0.8;0.8;0.8;0.8
ab;1969-1978;0.8;0.8;0.8;0.8
ab;1979-1983;0.95;0.95;0.95;0.95
ab;1984-1994;0.95;0.95;0.95;0.95
ab;1995-2001;1;1;1;1
ab;2002-2009;1;1;1;1
ab;2010;1;1;1;1
